Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	-0,4290	149,31	150,09	0,02847	
0,02000	-0,4290	149,27	150,09	0,02838	
0,04000	-0,4290	149,24	150,09	0,02828	
0,06000	-0,4290	149,20	150,09	0,02823	
0,08000	-0,4290	149,20	150,09	0,02827	
0,1000	-0,4290	149,17	150,09	0,02841	
0,1200	-0,4290	149,14	150,09	0,02856	
0,1400	-0,4290	149,20	150,09	0,02857	
0,1600	-0,4290	149,33	150,09	0,02843	
0,1800	-0,4290	149,37	150,08	0,02836	
0,2000	-0,4290	149,36	150,08	0,02844	
0,2200	-0,4291	149,32	150,08	0,02852	
0,2400	-0,4291	149,30	150,08	0,02860	
0,2600	-0,4291	149,25	150,08	0,02863	
0,2800	-0,4291	149,21	150,08	0,02855	
0,3000	-0,4291	149,25	150,09	0,02846	
0,3200	-0,4291	149,30	150,09	0,02840	
0,3400	-0,4291	149,25	150,09	0,02844	
0,3600	-0,4291	149,22	150,09	0,02850	
0,3800	-0,4290	149,30	150,09	0,02854	
0,4000	-0,4290	149,35	150,09	0,02859	
0,4200	-0,4290	149,36	150,09	0,02860	
0,4400	-0,4290	149,34	150,09	0,02854	
0,4600	-0,4290	149,33	150,09	0,02839	
0,4800	-0,4290	149,31	150,09	0,02830	
0,5000	-0,4290	149,33	150,09	0,02825	
0,5200	-0,4290	149,30	150,09	0,02837	
0,5400	-0,4290	149,24	150,09	0,02847	
0,5600	-0,4290	149,21	150,09	0,02846	
0,5800	-0,4290	149,21	150,09	0,02840	
0,6000	-0,4290	149,27	150,09	0,02837	
0,6200	-0,4290	149,35	150,09	0,02841	
0,6400	-0,4290	149,31	150,08	0,02846	
0,6600	-0,4290	149,26	150,08	0,02851	
0,6800	-0,4290	149,34	150,08	0,02860	
0,7000	-0,4290	149,43	150,08	0,02872	
0,7200	-0,4290	149,41	150,08	0,02860	
0,7400	-0,4290	149,36	150,08	0,02839	
0,7600	-0,4290	149,33	150,09	0,02825	
0,7800	-0,4290	149,33	150,09	0,02821	
0,8000	-0,4290	149,29	150,09	0,02832	
0,8200	-0,4290	149,27	150,09	0,02849	
0,8400	-0,4290	149,39	150,09	0,02855	
0,8600	-0,4290	149,41	150,09	0,02852	
0,8800	-0,4291	149,40	150,09	0,02836	
0,9000	-0,4291	149,34	150,09	0,02832	
0,9200	-0,4291	149,35	150,09	0,02833	
0,9400	-0,4291	149,44	150,09	0,02843	
0,9600	-0,4291	149,45	150,09	0,02854	
0,9800	-0,4291	149,45	150,08	0,02856	
1,000	-0,4291	149,43	150,08	0,02860	
