Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	-0,9650	155,67	150,11	0,01519	
0,02000	-0,9650	155,64	150,12	0,01504	
0,04000	-0,9649	155,64	150,12	0,01489	
0,06000	-0,9650	155,58	150,12	0,01492	
0,08000	-0,9650	155,47	150,11	0,01514	
0,1000	-0,9649	155,46	150,11	0,01521	
0,1200	-0,9650	155,53	150,12	0,01522	
0,1400	-0,9650	155,61	150,12	0,01516	
0,1600	-0,9650	155,71	150,12	0,01511	
0,1800	-0,9650	155,75	150,11	0,01511	
0,2000	-0,9649	155,70	150,11	0,01506	
0,2200	-0,9649	155,71	150,12	0,01510	
0,2400	-0,9649	155,69	150,12	0,01524	
0,2600	-0,9650	155,66	150,12	0,01526	
0,2800	-0,9650	155,58	150,11	0,01517	
0,3000	-0,9650	155,51	150,11	0,01501	
0,3200	-0,9650	155,52	150,12	0,01487	
0,3400	-0,9650	155,57	150,12	0,01489	
0,3600	-0,9650	155,61	150,12	0,01506	
0,3800	-0,9650	155,56	150,12	0,01521	
0,4000	-0,9649	155,59	150,11	0,01522	
0,4200	-0,9649	155,60	150,12	0,01514	
0,4400	-0,9650	155,62	150,12	0,01506	
0,4600	-0,9650	155,61	150,12	0,01500	
0,4800	-0,9650	155,58	150,11	0,01495	
0,5000	-0,9650	155,57	150,12	0,01499	
0,5200	-0,9650	155,62	150,12	0,01512	
0,5400	-0,9650	155,66	150,12	0,01519	
0,5600	-0,9650	155,69	150,11	0,01512	
0,5800	-0,9650	155,69	150,11	0,01499	
0,6000	-0,9650	155,64	150,11	0,01493	
0,6200	-0,9650	155,59	150,12	0,01495	
0,6400	-0,9650	155,62	150,12	0,01505	
0,6600	-0,9650	155,68	150,12	0,01513	
0,6800	-0,9650	155,70	150,11	0,01517	
0,7000	-0,9650	155,72	150,12	0,01517	
0,7200	-0,9650	155,68	150,12	0,01515	
0,7400	-0,9650	155,68	150,12	0,01507	
0,7600	-0,9650	155,75	150,12	0,01499	
0,7800	-0,9650	155,78	150,11	0,01504	
0,8000	-0,9649	155,71	150,11	0,01517	
0,8200	-0,9649	155,69	150,12	0,01526	
0,8400	-0,9649	155,69	150,12	0,01524	
