Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	0,1665	160,19	150,09	-0,02291	
0,02000	0,1665	160,20	150,09	-0,02294	
0,04000	0,1665	160,22	150,09	-0,02298	
0,06000	0,1665	160,21	150,09	-0,02305	
0,08000	0,1665	160,00	150,09	-0,02307	
0,1000	0,1665	158,88	150,09	-0,02299	
0,1200	0,1665	158,91	150,09	-0,02284	
0,1400	0,1665	159,82	150,09	-0,02273	
0,1600	0,1665	160,22	150,09	-0,02277	
0,1800	0,1665	160,21	150,09	-0,02295	
0,2000	0,1665	160,22	150,09	-0,02308	
0,2200	0,1665	160,24	150,09	-0,02314	
0,2400	0,1665	160,21	150,09	-0,02311	
0,2600	0,1665	160,17	150,09	-0,02300	
0,2800	0,1665	160,20	150,09	-0,02289	
0,3000	0,1665	160,22	150,09	-0,02279	
0,3200	0,1665	160,25	150,09	-0,02281	
0,3400	0,1665	160,24	150,09	-0,02295	
0,3600	0,1665	160,20	150,09	-0,02309	
0,3800	0,1665	160,12	150,09	-0,02312	
0,4000	0,1665	160,10	150,09	-0,02307	
0,4200	0,1665	160,06	150,09	-0,02296	
0,4400	0,1665	160,04	150,09	-0,02285	
0,4600	0,1665	160,05	150,09	-0,02283	
0,4800	0,1665	160,06	150,09	-0,02292	
0,5000	0,1665	160,10	150,09	-0,02301	
0,5200	0,1665	160,07	150,09	-0,02299	
0,5400	0,1665	160,09	150,09	-0,02293	
0,5600	0,1665	160,15	150,09	-0,02287	
0,5800	0,1665	160,21	150,09	-0,02280	
0,6000	0,1665	160,27	150,09	-0,02285	
0,6200	0,1665	160,24	150,10	-0,02297	
0,6400	0,1665	160,14	150,09	-0,02306	
0,6600	0,1665	160,06	150,09	-0,02310	
0,6800	0,1665	160,09	150,09	-0,02311	
0,7000	0,1665	160,09	150,09	-0,02297	
0,7200	0,1665	160,01	150,09	-0,02278	
0,7400	0,1665	160,01	150,09	-0,02274	
0,7600	0,1665	160,12	150,09	-0,02287	
0,7800	0,1665	160,13	150,09	-0,02302	
0,8000	0,1665	160,12	150,09	-0,02311	
0,8200	0,1665	160,17	150,09	-0,02308	
0,8400	0,1665	160,18	150,09	-0,02293	
0,8600	0,1665	160,13	150,09	-0,02282	
0,8800	0,1665	160,11	150,09	-0,02278	
0,9000	0,1665	160,15	150,09	-0,02282	
0,9200	0,1665	160,20	150,09	-0,02289	
0,9400	0,1665	160,19	150,09	-0,02296	
0,9600	0,1665	160,17	150,09	-0,02302	
0,9800	0,1665	160,15	150,09	-0,02300	
1,000	0,1665	160,16	150,09	-0,02294	
1,020	0,1665	160,13	150,09	-0,02285	
1,040	0,1665	160,15	150,09	-0,02286	
1,060	0,1665	159,96	150,09	-0,02299	
1,080	0,1665	159,15	150,09	-0,02311	
1,100	0,1665	158,02	150,09	-0,02317	
1,120	0,1666	157,78	150,09	-0,02312	
1,140	0,1666	158,97	150,09	-0,02298	
1,160	0,1666	159,91	150,09	-0,02288	
1,180	0,1666	160,18	150,09	-0,02291	
1,200	0,1666	160,13	150,09	-0,02309	
1,220	0,1666	160,08	150,09	-0,02317	
1,240	0,1666	160,11	150,09	-0,02309	
1,260	0,1665	160,18	150,09	-0,02302	
1,280	0,1665	160,20	150,09	-0,02298	
1,300	0,1665	160,23	150,09	-0,02293	
1,320	0,1665	160,27	150,09	-0,02293	
1,340	0,1665	160,26	150,09	-0,02300	
