Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	-0,4344	174,43	150,04	0,04959	
0,02000	-0,4344	174,48	150,04	0,04939	
0,04000	-0,4344	174,47	150,04	0,04929	
0,06000	-0,4344	174,44	150,04	0,04932	
0,08000	-0,4344	174,38	150,04	0,04945	
0,1000	-0,4344	174,36	150,04	0,04957	
0,1200	-0,4344	174,39	150,04	0,04960	
0,1400	-0,4344	174,03	150,04	0,04960	
0,1600	-0,4344	172,60	150,04	0,04956	
0,1800	-0,4344	171,47	150,04	0,04947	
0,2000	-0,4344	171,15	150,04	0,04940	
0,2200	-0,4344	171,12	150,04	0,04945	
0,2400	-0,4344	171,07	150,04	0,04947	
0,2600	-0,4344	171,07	150,04	0,04951	
0,2800	-0,4344	171,18	150,04	0,04963	
0,3000	-0,4344	172,16	150,04	0,04965	
0,3200	-0,4344	173,65	150,04	0,04949	
0,3400	-0,4344	174,37	150,04	0,04940	
0,3600	-0,4344	174,44	150,04	0,04937	
0,3800	-0,4344	174,37	150,04	0,04935	
0,4000	-0,4344	174,35	150,04	0,04942	
0,4200	-0,4344	174,36	150,04	0,04960	
0,4400	-0,4344	174,38	150,04	0,04970	
0,4600	-0,4344	174,48	150,04	0,04955	
0,4800	-0,4344	174,51	150,04	0,04937	
0,5000	-0,4344	174,50	150,04	0,04931	
0,5200	-0,4344	174,49	150,04	0,04936	
0,5400	-0,4344	174,50	150,04	0,04946	
0,5600	-0,4344	174,52	150,04	0,04953	
0,5800	-0,4344	174,45	150,04	0,04957	
0,6000	-0,4344	173,47	150,04	0,04949	
0,6200	-0,4344	172,01	150,04	0,04941	
0,6400	-0,4344	171,28	150,04	0,04934	
0,6600	-0,4344	171,09	150,04	0,04932	
0,6800	-0,4344	171,07	150,04	0,04936	
0,7000	-0,4344	171,95	150,04	0,04954	
0,7200	-0,4344	173,41	150,04	0,04968	
0,7400	-0,4344	173,31	150,04	0,04974	
0,7600	-0,4344	172,02	150,04	0,04964	
0,7800	-0,4344	171,26	150,04	0,04938	
0,8000	-0,4344	171,09	150,04	0,04925	
0,8200	-0,4344	171,06	150,04	0,04935	
0,8400	-0,4344	170,97	150,04	0,04948	
0,8600	-0,4344	170,95	150,04	0,04957	
0,8800	-0,4344	171,05	150,04	0,04962	
0,9000	-0,4344	171,44	150,04	0,04951	
0,9200	-0,4344	172,82	150,04	0,04939	
0,9400	-0,4344	173,65	150,04	0,04938	
0,9600	-0,4344	173,25	150,04	0,04943	
0,9800	-0,4344	172,15	150,04	0,04951	
1,000	-0,4344	171,31	150,04	0,04959	
1,020	-0,4344	171,04	150,04	0,04961	
1,040	-0,4344	171,02	150,04	0,04955	
1,060	-0,4344	170,99	150,04	0,04944	
1,080	-0,4344	170,99	150,04	0,04938	
1,100	-0,4344	170,99	150,04	0,04946	
1,120	-0,4344	171,04	150,04	0,04953	
1,140	-0,4344	171,67	150,04	0,04959	
1,160	-0,4344	172,62	150,04	0,04959	
1,180	-0,4344	173,72	150,04	0,04958	
1,200	-0,4344	174,31	150,04	0,04958	
1,220	-0,4344	174,50	150,04	0,04952	
1,240	-0,4344	174,53	150,04	0,04940	
1,260	-0,4344	174,49	150,04	0,04935	
1,280	-0,4344	174,49	150,04	0,04945	
1,300	-0,4344	174,45	150,04	0,04959	
1,320	-0,4344	174,37	150,04	0,04966	
1,340	-0,4344	174,33	150,04	0,04960	
1,360	-0,4344	174,33	150,04	0,04947	
1,380	-0,4344	173,49	150,04	0,04936	
1,400	-0,4344	172,89	150,04	0,04931	
1,420	-0,4344	173,63	150,04	0,04937	
1,440	-0,4344	174,21	150,04	0,04947	
1,460	-0,4344	173,78	150,04	0,04955	
1,480	-0,4344	173,39	150,04	0,04962	
1,500	-0,4344	172,37	150,04	0,04957	
1,520	-0,4344	171,47	150,04	0,04948	
1,540	-0,4344	171,19	150,04	0,04941	
1,560	-0,4344	171,15	150,04	0,04933	
1,580	-0,4344	171,08	150,04	0,04936	
1,600	-0,4344	171,37	150,04	0,04944	
1,620	-0,4344	172,80	150,04	0,04953	
1,640	-0,4344	173,99	150,04	0,04958	
1,660	-0,4344	174,39	150,04	0,04948	
1,680	-0,4344	174,41	150,04	0,04938	
1,700	-0,4344	174,32	150,04	0,04936	
1,720	-0,4344	174,28	150,04	0,04939	
1,740	-0,4344	174,29	150,04	0,04944	
1,760	-0,4344	174,24	150,04	0,04955	
1,780	-0,4344	174,21	150,04	0,04971	
1,800	-0,4344	174,22	150,04	0,04968	
1,820	-0,4344	173,31	150,04	0,04943	
1,840	-0,4344	171,87	150,04	0,04925	
1,860	-0,4344	171,12	150,04	0,04926	
1,880	-0,4344	170,96	150,04	0,04945	
1,900	-0,4344	171,35	150,04	0,04964	
1,920	-0,4344	172,75	150,04	0,04966	
1,940	-0,4344	173,89	150,04	0,04960	
1,960	-0,4344	174,28	150,04	0,04946	
1,980	-0,4344	174,31	150,04	0,04936	
2,000	-0,4344	174,27	150,04	0,04937	
