Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	0,000	151,62	150,09	0,000	
0,02000	0,000	152,08	150,09	0,00014	
0,04000	0,000	152,19	150,09	0,00018	
0,06000	0,000	152,18	150,09	0,000	
0,08000	0,000	152,15	150,09	0,000	
0,1000	0,000	152,13	150,09	0,000	
0,1200	0,000	152,08	150,09	0,000	
0,1400	0,000	152,10	150,09	0,000	
0,1600	0,000	152,20	150,09	0,000	
0,1800	0,000	152,22	150,08	0,00014	
0,2000	0,000	152,20	150,08	0,000	
0,2200	0,000	152,21	150,08	0,000	
0,2400	0,000	152,20	150,07	0,000	
0,2600	0,000	152,15	150,08	0,000	
0,2800	0,000	152,11	150,08	0,000	
0,3000	0,000	152,12	150,09	0,00025	
0,3200	0,000	152,15	150,09	0,00024	
0,3400	0,000	152,14	150,09	0,00010	
0,3600	0,000	152,17	150,09	0,000	
0,3800	0,000	152,18	150,09	0,000	
0,4000	0,000	152,16	150,09	0,000	
0,4200	0,000	152,18	150,09	0,000	
0,4400	0,000	152,16	150,09	0,000	
0,4600	0,000	152,13	150,09	0,00010	
0,4800	0,000	152,19	150,09	0,000	
0,5000	0,000	152,17	150,09	0,000	
0,5200	0,000	152,13	150,09	0,000	
0,5400	0,000	152,13	150,09	0,000	
0,5600	0,000	152,10	150,09	0,000	
0,5800	0,000	152,09	150,09	0,00012	
0,6000	0,000	152,07	150,09	0,00019	
0,6200	0,000	152,09	150,09	0,00018	
0,6400	0,000	152,15	150,09	0,000	
0,6600	0,000	152,18	150,09	0,000	
0,6800	0,000	152,18	150,09	0,000	
0,7000	0,000	152,17	150,09	0,000	
0,7200	0,000	152,13	150,09	0,000	
0,7400	0,000	152,12	150,09	0,00014	
0,7600	0,000	152,12	150,09	0,00016	
0,7800	0,000	152,10	150,09	0,00011	
0,8000	0,000	152,07	150,09	0,000	
0,8200	0,000	152,08	150,08	0,000	
0,8400	0,000	152,10	150,08	0,000	
0,8600	0,000	152,12	150,08	0,000	
0,8800	0,000	152,12	150,08	0,000	
0,9000	0,000	152,14	150,08	0,00015	
0,9200	0,000	152,17	150,08	0,00012	
0,9400	0,000	152,17	150,09	0,000	
0,9600	0,000	152,17	150,09	-0,00011	
0,9800	0,000	152,11	150,09	-0,00014	
1,000	0,000	152,12	150,09	-0,00012	
1,020	0,000	152,13	150,09	0,000	
1,040	0,000	152,11	150,09	0,000	
1,060	0,000	152,05	150,09	0,00012	
1,080	0,000	152,05	150,09	0,00013	
1,100	0,000	152,15	150,09	0,000	
1,120	0,000	152,19	150,09	0,000	
1,140	0,000	152,15	150,09	0,000	
1,160	0,000	152,17	150,09	0,000	
1,180	0,000	152,20	150,09	0,00017	
1,200	0,000	152,17	150,09	0,00022	
1,220	0,000	152,15	150,09	0,00014	
1,240	0,000	152,11	150,09	0,000	
1,260	0,000	152,04	150,09	-0,00011	
1,280	0,000	152,05	150,09	-0,00012	
1,300	0,000	152,09	150,09	0,000	
1,320	0,000	152,15	150,09	0,000	
1,340	0,000	152,17	150,09	0,00019	
1,360	0,000	152,17	150,09	0,00020	
1,380	0,000	152,15	150,09	0,000	
1,400	0,000	152,18	150,09	0,000	
