Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	0,1800	154,67	150,08	-0,01512	
0,02000	0,1800	154,28	150,08	-0,01520	
0,04000	0,1800	153,33	150,08	-0,01532	
0,06000	0,1800	154,07	150,08	-0,01535	
0,08000	0,1800	154,61	150,08	-0,01531	
0,1000	0,1800	154,15	150,09	-0,01527	
0,1200	0,1800	153,53	150,09	-0,01518	
0,1400	0,1800	152,90	150,09	-0,01510	
0,1600	0,1800	152,79	150,09	-0,01511	
0,1800	0,1800	153,31	150,09	-0,01523	
0,2000	0,1800	153,25	150,09	-0,01537	
0,2200	0,1800	153,32	150,09	-0,01542	
0,2400	0,1800	153,69	150,09	-0,01532	
0,2600	0,1800	154,12	150,09	-0,01520	
0,2800	0,1800	153,36	150,09	-0,01513	
0,3000	0,1800	152,65	150,09	-0,01517	
0,3200	0,1800	152,93	150,09	-0,01525	
0,3400	0,1800	153,08	150,09	-0,01535	
0,3600	0,1800	152,68	150,09	-0,01533	
0,3800	0,1800	152,46	150,09	-0,01527	
0,4000	0,1800	152,45	150,09	-0,01525	
0,4200	0,1800	152,68	150,09	-0,01518	
0,4400	0,1800	153,96	150,09	-0,01512	
0,4600	0,1800	155,23	150,09	-0,01519	
0,4800	0,1800	155,74	150,09	-0,01533	
0,5000	0,1800	155,84	150,09	-0,01540	
0,5200	0,1800	155,89	150,09	-0,01538	
0,5400	0,1800	155,96	150,09	-0,01524	
0,5600	0,1800	155,91	150,09	-0,01514	
0,5800	0,1800	155,86	150,10	-0,01518	
0,6000	0,1800	155,82	150,10	-0,01515	
0,6200	0,1800	155,73	150,09	-0,01523	
0,6400	0,1800	155,65	150,09	-0,01534	
0,6600	0,1800	155,62	150,09	-0,01537	
0,6800	0,1800	155,68	150,09	-0,01528	
0,7000	0,1800	155,80	150,09	-0,01519	
0,7200	0,1800	155,82	150,09	-0,01514	
0,7400	0,1800	155,85	150,09	-0,01513	
0,7600	0,1800	155,81	150,09	-0,01520	
0,7800	0,1800	155,77	150,09	-0,01529	
0,8000	0,1800	155,58	150,09	-0,01532	
0,8200	0,1800	154,29	150,09	-0,01531	
0,8400	0,1800	153,00	150,09	-0,01525	
0,8600	0,1800	152,68	150,09	-0,01516	
0,8800	0,1800	153,92	150,09	-0,01510	
0,9000	0,1800	155,31	150,09	-0,01512	
0,9200	0,1800	155,84	150,09	-0,01528	
0,9400	0,1800	155,83	150,09	-0,01536	
0,9600	0,1800	155,74	150,09	-0,01536	
0,9800	0,1800	155,01	150,09	-0,01524	
1,000	0,1800	153,50	150,09	-0,01513	
1,020	0,1800	152,56	150,09	-0,01514	
1,040	0,1800	152,33	150,09	-0,01523	
1,060	0,1800	152,37	150,09	-0,01526	
1,080	0,1800	152,40	150,09	-0,01530	
1,100	0,1800	152,41	150,09	-0,01535	
1,120	0,1800	152,42	150,09	-0,01529	
1,140	0,1800	152,39	150,09	-0,01523	
1,160	0,1800	152,36	150,09	-0,01515	
1,180	0,1800	152,32	150,09	-0,01510	
1,200	0,1800	152,31	150,09	-0,01517	
1,220	0,1800	152,35	150,09	-0,01536	
1,240	0,1800	152,37	150,09	-0,01549	
1,260	0,1800	152,36	150,09	-0,01545	
1,280	0,1800	152,36	150,09	-0,01531	
1,300	0,1800	152,39	150,09	-0,01514	
1,320	0,1800	152,39	150,09	-0,01504	
1,340	0,1800	152,35	150,09	-0,01509	
1,360	0,1800	152,34	150,08	-0,01529	
1,380	0,1800	152,32	150,08	-0,01540	
1,400	0,1800	152,36	150,08	-0,01537	
1,420	0,1800	152,38	150,08	-0,01528	
1,440	0,1800	152,43	150,08	-0,01517	
1,460	0,1800	152,45	150,08	-0,01515	
1,480	0,1800	152,46	150,08	-0,01520	
1,500	0,1800	152,47	150,09	-0,01524	
1,520	0,1800	152,45	150,09	-0,01529	
1,540	0,1800	152,43	150,09	-0,01536	
1,560	0,1800	152,42	150,09	-0,01535	
1,580	0,1800	152,37	150,09	-0,01527	
1,600	0,1800	152,38	150,09	-0,01514	
1,620	0,1800	152,59	150,09	-0,01511	
1,640	0,1800	153,93	150,09	-0,01519	
1,660	0,1800	155,26	150,09	-0,01528	
1,680	0,1800	155,76	150,09	-0,01534	
1,700	0,1800	155,62	150,09	-0,01535	
1,720	0,1800	154,30	150,09	-0,01529	
1,740	0,1800	152,91	150,09	-0,01516	
1,760	0,1800	152,33	150,09	-0,01511	
1,780	0,1800	152,34	150,09	-0,01517	
1,800	0,1800	152,45	150,09	-0,01526	
1,820	0,1800	152,49	150,09	-0,01533	
1,840	0,1800	152,46	150,09	-0,01533	
1,860	0,1800	152,33	150,09	-0,01527	
1,880	0,1800	152,30	150,09	-0,01519	
1,900	0,1800	152,34	150,09	-0,01514	
1,920	0,1800	152,42	150,09	-0,01510	
1,940	0,1800	152,49	150,09	-0,01519	
1,960	0,1800	153,24	150,09	-0,01531	
1,980	0,1800	154,76	150,09	-0,01541	
2,000	0,1800	155,69	150,09	-0,01537	
2,020	0,1800	155,93	150,09	-0,01526	
2,040	0,1800	155,84	150,09	-0,01510	
2,060	0,1800	155,74	150,08	-0,01502	
2,080	0,1801	155,73	150,08	-0,01504	
2,100	0,1801	155,72	150,08	-0,01522	
2,120	0,1800	155,70	150,08	-0,01537	
2,140	0,1800	155,53	150,08	-0,01543	
2,160	0,1800	154,18	150,08	-0,01538	
2,180	0,1800	153,07	150,08	-0,01524	
2,200	0,1800	153,37	150,08	-0,01512	
2,220	0,1800	154,41	150,09	-0,01509	
2,240	0,1800	155,38	150,09	-0,01519	
2,260	0,1800	155,82	150,09	-0,01535	
2,280	0,1800	155,83	150,09	-0,01539	
2,300	0,1800	155,79	150,09	-0,01532	
2,320	0,1800	155,76	150,09	-0,01521	
2,340	0,1800	155,77	150,09	-0,01517	
2,360	0,1800	155,64	150,09	-0,01509	
2,380	0,1800	154,35	150,09	-0,01508	
2,400	0,1800	153,02	150,09	-0,01523	
2,420	0,1800	152,71	150,09	-0,01538	
