Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	-0,4290	146,69	150,11	0,01402	
0,02000	-0,4290	146,64	150,11	0,01395	
0,04000	-0,4290	146,67	150,11	0,01390	
0,06000	-0,4291	146,68	150,11	0,01385	
0,08000	-0,4290	146,64	150,10	0,01380	
0,1000	-0,4290	146,56	150,10	0,01382	
0,1200	-0,4290	146,57	150,11	0,01392	
0,1400	-0,4290	146,71	150,11	0,01402	
0,1600	-0,4290	146,78	150,11	0,01404	
0,1800	-0,4290	146,76	150,11	0,01393	
0,2000	-0,4291	146,67	150,10	0,01382	
0,2200	-0,4291	146,62	150,10	0,01381	
0,2400	-0,4291	146,67	150,10	0,01386	
0,2600	-0,4290	146,75	150,10	0,01394	
0,2800	-0,4290	146,77	150,10	0,01405	
0,3000	-0,4290	146,74	150,11	0,01412	
0,3200	-0,4290	146,69	150,11	0,01410	
0,3400	-0,4290	146,66	150,11	0,01398	
0,3600	-0,4291	146,73	150,10	0,01385	
0,3800	-0,4291	146,79	150,10	0,01379	
0,4000	-0,4290	146,81	150,10	0,01377	
0,4200	-0,4290	146,82	150,10	0,01385	
0,4400	-0,4290	146,76	150,10	0,01400	
0,4600	-0,4291	146,71	150,10	0,01401	
0,4800	-0,4291	146,72	150,11	0,01397	
0,5000	-0,4291	146,62	150,11	0,01387	
0,5200	-0,4291	146,60	150,11	0,01378	
0,5400	-0,4291	146,66	150,11	0,01378	
0,5600	-0,4290	146,69	150,10	0,01387	
0,5800	-0,4291	146,70	150,10	0,01392	
0,6000	-0,4291	146,72	150,10	0,01398	
0,6200	-0,4291	146,70	150,10	0,01405	
0,6400	-0,4291	146,69	150,10	0,01404	
0,6600	-0,4291	146,71	150,10	0,01398	
0,6800	-0,4291	146,69	150,11	0,01389	
0,7000	-0,4291	146,66	150,11	0,01379	
0,7200	-0,4291	146,74	150,11	0,01381	
0,7400	-0,4291	146,73	150,10	0,01403	
0,7600	-0,4291	146,68	150,10	0,01415	
0,7800	-0,4291	146,67	150,10	0,01411	
