Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	-0,1047	159,98	150,03	-0,03169	
0,02000	-0,1047	160,03	150,03	-0,03177	
0,04000	-0,1046	160,09	150,02	-0,03171	
0,06000	-0,1046	160,10	150,02	-0,03160	
0,08000	-0,1046	160,08	150,02	-0,03147	
0,1000	-0,1046	160,09	150,02	-0,03144	
0,1200	-0,1046	160,12	150,03	-0,03152	
0,1400	-0,1046	160,08	150,03	-0,03169	
0,1600	-0,1046	160,04	150,03	-0,03176	
0,1800	-0,1046	160,01	150,03	-0,03170	
0,2000	-0,1046	160,00	150,03	-0,03160	
0,2200	-0,1047	160,04	150,03	-0,03147	
0,2400	-0,1047	160,10	150,03	-0,03141	
0,2600	-0,1046	160,16	150,03	-0,03141	
0,2800	-0,1046	160,19	150,02	-0,03148	
0,3000	-0,1046	160,15	150,02	-0,03164	
0,3200	-0,1046	160,13	150,02	-0,03175	
0,3400	-0,1046	160,16	150,02	-0,03170	
0,3600	-0,1046	160,19	150,03	-0,03164	
0,3800	-0,1046	160,16	150,03	-0,03155	
0,4000	-0,1046	160,11	150,03	-0,03148	
0,4200	-0,1046	160,09	150,03	-0,03149	
0,4400	-0,1047	160,13	150,03	-0,03153	
0,4600	-0,1047	160,18	150,04	-0,03160	
0,4800	-0,1046	160,12	150,03	-0,03160	
0,5000	-0,1046	160,05	150,03	-0,03161	
0,5200	-0,1046	160,02	150,03	-0,03154	
0,5400	-0,1046	160,05	150,02	-0,03147	
0,5600	-0,1046	160,08	150,02	-0,03146	
0,5800	-0,1046	160,08	150,02	-0,03148	
0,6000	-0,1046	160,09	150,02	-0,03156	
0,6200	-0,1046	160,09	150,03	-0,03167	
0,6400	-0,1046	160,05	150,03	-0,03173	
0,6600	-0,1046	160,08	150,03	-0,03170	
0,6800	-0,1046	160,16	150,03	-0,03161	
0,7000	-0,1046	160,17	150,03	-0,03150	
0,7200	-0,1046	160,12	150,03	-0,03149	
0,7400	-0,1046	160,06	150,03	-0,03152	
0,7600	-0,1046	160,01	150,02	-0,03160	
0,7800	-0,1046	160,02	150,02	-0,03172	
0,8000	-0,1046	159,99	150,02	-0,03174	
0,8200	-0,1046	160,00	150,02	-0,03164	
0,8400	-0,1047	160,05	150,03	-0,03153	
0,8600	-0,1047	160,11	150,03	-0,03142	
0,8800	-0,1047	160,09	150,03	-0,03138	
0,9000	-0,1047	160,05	150,03	-0,03149	
0,9200	-0,1047	160,02	150,03	-0,03164	
0,9400	-0,1047	159,98	150,03	-0,03167	
0,9600	-0,1047	159,98	150,03	-0,03162	
0,9800	-0,1047	160,06	150,03	-0,03154	
1,000	-0,1046	160,16	150,02	-0,03150	
1,020	-0,1046	160,23	150,02	-0,03143	
1,040	-0,1046	160,19	150,02	-0,03144	
