Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	-0,4734	150,28	150,10	0,03006	
0,02000	-0,4734	150,31	150,10	0,03016	
0,04000	-0,4734	150,34	150,11	0,03025	
0,06000	-0,4734	150,34	150,11	0,03030	
0,08000	-0,4734	150,24	150,10	0,03030	
0,1000	-0,4734	150,18	150,10	0,03017	
0,1200	-0,4734	150,18	150,10	0,03009	
0,1400	-0,4734	150,19	150,10	0,03008	
0,1600	-0,4734	150,21	150,10	0,03011	
0,1800	-0,4734	150,16	150,10	0,03015	
0,2000	-0,4734	150,15	150,10	0,03027	
0,2200	-0,4734	150,20	150,10	0,03026	
0,2400	-0,4734	150,23	150,10	0,03022	
0,2600	-0,4734	150,24	150,11	0,03016	
0,2800	-0,4734	150,19	150,11	0,03006	
0,3000	-0,4734	150,14	150,11	0,03000	
0,3200	-0,4734	150,20	150,10	0,03012	
0,3400	-0,4734	150,26	150,10	0,03027	
0,3600	-0,4734	150,23	150,10	0,03033	
0,3800	-0,4734	150,19	150,10	0,03039	
0,4000	-0,4734	150,23	150,10	0,03030	
0,4200	-0,4734	150,25	150,10	0,03015	
0,4400	-0,4734	150,23	150,10	0,03008	
0,4600	-0,4734	150,18	150,10	0,03013	
0,4800	-0,4734	150,10	150,10	0,03025	
0,5000	-0,4734	150,09	150,10	0,03036	
0,5200	-0,4734	150,14	150,11	0,03042	
0,5400	-0,4734	150,15	150,11	0,03038	
0,5600	-0,4734	150,15	150,11	0,03025	
0,5800	-0,4734	150,17	150,10	0,03013	
0,6000	-0,4734	150,19	150,10	0,03008	
0,6200	-0,4734	150,18	150,10	0,03011	
0,6400	-0,4734	150,25	150,10	0,03023	
0,6600	-0,4734	150,28	150,10	0,03030	
0,6800	-0,4734	150,18	150,10	0,03031	
0,7000	-0,4734	150,08	150,10	0,03032	
0,7200	-0,4734	150,04	150,10	0,03022	
0,7400	-0,4734	150,05	150,10	0,03009	
0,7600	-0,4734	150,14	150,10	0,03009	
0,7800	-0,4734	150,27	150,10	0,03018	
0,8000	-0,4734	150,29	150,10	0,03022	
0,8200	-0,4734	150,19	150,10	0,03027	
0,8400	-0,4734	150,13	150,10	0,03033	
0,8600	-0,4734	150,08	150,10	0,03028	
0,8800	-0,4734	150,02	150,10	0,03014	
0,9000	-0,4734	150,04	150,10	0,03006	
0,9200	-0,4734	150,14	150,10	0,03008	
0,9400	-0,4734	150,19	150,10	0,03019	
0,9600	-0,4734	150,17	150,10	0,03033	
0,9800	-0,4734	150,15	150,10	0,03040	
1,000	-0,4734	150,11	150,11	0,03035	
1,020	-0,4734	150,05	150,11	0,03028	
1,040	-0,4734	150,07	150,11	0,03015	
1,060	-0,4734	150,09	150,11	0,03005	
1,080	-0,4734	150,11	150,10	0,03004	
1,100	-0,4734	150,11	150,10	0,03016	
1,120	-0,4734	150,12	150,10	0,03030	
1,140	-0,4734	150,14	150,10	0,03032	
1,160	-0,4734	150,17	150,10	0,03027	
1,180	-0,4734	150,22	150,10	0,03017	
1,200	-0,4734	150,25	150,10	0,03007	
1,220	-0,4734	150,29	150,11	0,03006	
1,240	-0,4734	150,26	150,11	0,03016	
1,260	-0,4734	150,20	150,11	0,03025	
1,280	-0,4734	150,17	150,10	0,03033	
1,300	-0,4734	150,23	150,10	0,03040	
1,320	-0,4734	150,24	150,10	0,03036	
1,340	-0,4734	150,17	150,10	0,03021	
1,360	-0,4734	150,15	150,10	0,03008	
1,380	-0,4734	150,19	150,10	0,03013	
1,400	-0,4734	150,25	150,10	0,03022	
1,420	-0,4734	150,27	150,10	0,03030	
1,440	-0,4734	150,28	150,10	0,03037	
1,460	-0,4734	150,21	150,11	0,03034	
1,480	-0,4734	150,13	150,11	0,03028	
1,500	-0,4734	150,13	150,11	0,03017	
1,520	-0,4734	150,19	150,10	0,03011	
1,540	-0,4734	150,18	150,10	0,03012	
1,560	-0,4734	150,10	150,10	0,03023	
1,580	-0,4734	150,07	150,10	0,03028	
1,600	-0,4734	150,09	150,10	0,03032	
1,620	-0,4734	150,10	150,10	0,03038	
1,640	-0,4734	150,13	150,11	0,03028	
1,660	-0,4734	150,16	150,11	0,03013	
1,680	-0,4734	150,12	150,11	0,03007	
1,700	-0,4734	150,14	150,11	0,03012	
1,720	-0,4734	150,24	150,10	0,03022	
1,740	-0,4734	150,27	150,10	0,03036	
1,760	-0,4734	150,19	150,10	0,03039	
1,780	-0,4734	150,15	150,10	0,03029	
1,800	-0,4734	150,16	150,10	0,03016	
1,820	-0,4734	150,16	150,10	0,03009	
1,840	-0,4734	150,25	150,11	0,03012	
1,860	-0,4734	150,32	150,11	0,03021	
1,880	-0,4734	150,30	150,11	0,03023	
1,900	-0,4734	150,22	150,11	0,03028	
1,920	-0,4734	150,14	150,10	0,03035	
1,940	-0,4734	150,16	150,10	0,03032	
1,960	-0,4734	150,23	150,10	0,03022	
1,980	-0,4734	150,23	150,10	0,03015	
2,000	-0,4734	150,13	150,10	0,03009	
2,020	-0,4734	150,08	150,10	0,03013	
2,040	-0,4734	150,07	150,10	0,03030	
2,060	-0,4734	150,06	150,10	0,03040	
2,080	-0,4734	150,03	150,11	0,03040	
2,100	-0,4734	150,05	150,11	0,03030	
2,120	-0,4734	150,15	150,11	0,03016	
2,140	-0,4734	150,28	150,10	0,03008	
2,160	-0,4734	150,27	150,10	0,03007	
2,180	-0,4734	150,20	150,10	0,03015	
2,200	-0,4734	150,13	150,10	0,03027	
2,220	-0,4734	150,15	150,10	0,03033	
2,240	-0,4734	150,19	150,10	0,03033	
2,260	-0,4734	150,19	150,10	0,03023	
2,280	-0,4734	150,17	150,11	0,03014	
2,300	-0,4734	150,17	150,11	0,03006	
2,320	-0,4734	150,16	150,11	0,03009	
2,340	-0,4734	150,16	150,11	0,03014	
2,360	-0,4734	150,26	150,11	0,03021	
2,380	-0,4734	150,28	150,10	0,03033	
2,400	-0,4734	150,30	150,10	0,03040	
2,420	-0,4734	150,36	150,10	0,03031	
2,440	-0,4734	150,38	150,11	0,03020	
2,460	-0,4734	150,34	150,11	0,03010	
2,480	-0,4735	150,26	150,11	0,03009	
